loanApplicationId,applicantId,gender,applicantAge,maritalStatus,isLivingTogether,dependents,visaType,currentResidenceStatus,currentResidencePostcode,currentResidenceMonths,totalCurrentEmployment,isHomeOwner,centrelinkIncomeMonthly,isBankStatementAvailable,isCreditReportAvailable,employmentType,occupation,isProbation,employmentDurationMonths,annualSalary,totalPreviousEmpDurationMonths,familyTaxBenefitMonthly,countDishonor,gamblingExpenditureMonthly,ongoingSaccRepaymentAmount,countOngoingSaccLoan,creditScoreV10,creditScoreV11,creditScoreV20,isBankrupt,countTotalCurrentDefault,countTotalCurrentDefault12Month,countFinancialUnPaidDefault,totalFinancialUnPaidDefaultAmount,monthExJudgement,countPaydayEnquiry6Month,fhiCurrentAccount,countWorstRepayment12MonthAny,countWorstRepayment12MonthAuto,countWorstRepayment24MonthAny,countWorstRepayment24MonthAuto,numberOfApplicant,requestedLoanType,requestedLoanTerm,affordabilityMonthly,assetPurchaseCost,depositAmount,requestedLoanAmount,assetMake,assetModel,assetYear,assetNvic,assetCondition,totalIncomeMonthly,totalExpensesMonthly,totalUncommittedIncomeMonthly,totalRentalIncomeMonthly,totalLivingExpensesMonthly,totalChildExpensesMonthly,totalGamblingExpensesMonthly,totalLiabilitiesMonthly,totalAssetsMonthly,totalDependents,totalAdditionalIncome,totalSpouseIncome,totalSavings
633601,442491,Male,35,De-facto,TRUE,0,Citizen,Rented,2069,14,1,FALSE,0,TRUE,TRUE,Full_Time,Office Staff,FALSE,90,57991.24,0,0,4,0,0,0,0,381,461,FALSE,1,0,0,0,-991,0,N,-993,-991,-993,-991,1,Vehicle,60,450,20000,0,20000,MG,HS,2021,,USED,10032.41,5330.32,4702.09,0,2513.22,0,0,0,0,0,0,5200,2000
616344,424609,Female,56,Single,FALSE,0,Permanent_Resident,Boarded,2770,66,1,FALSE,0,TRUE,TRUE,Full_Time,Other,FALSE,70,42775.35,0,0,9,106.06,0,0,0,416,449,FALSE,2,0,1,1783,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,519.96,9000,0,9000,DODGE,JOURNEY,2014,S8E14K,USED,3564.47,1912.69,1651.78,0,1912.69,0,0,0,0,0,0,0,0
607131,414966,Female,42,Married,TRUE,3,Citizen,Rented,3338,36,1,FALSE,1917.19,TRUE,TRUE,Full_Time,Office Staff,FALSE,18,62887.52,108,2431.21,0,22.04,0,0,0,471,409,FALSE,1,0,0,0,-991,0,N,-993,-991,-993,-991,1,Vehicle,60,519.96,23999.7,200,23799.7,HOLDEN,CALAIS,2018,01RG18,USED,8891.21,3451.46,5439.75,0,1501.61,0,0,216.65,0,3,1917.19,1733.6,400
637974,446940,Male,27,Married,TRUE,0,Citizen,Rented,2430,6,1,FALSE,0,FALSE,TRUE,Casual,Professional,FALSE,7,51998.08,60,0,0,0,0,0,0,434,680,FALSE,0,0,0,0,-991,0,N,0,-991,0,-991,1,Vehicle,60,2000,29990,0,29990,VOLKSWAGEN,GOLF,2019,03F019,USED,4333,2333.49,1999.51,0,1235,0,0,80,0,0,0,0,0
636888,445841,Female,51,Married,TRUE,3,Citizen,Mortgaged,3595,50,1,TRUE,2821.65,TRUE,TRUE,Full_Time,Other,FALSE,95,82262.21,0,1760.65,0,0,0,0,0,580,556,FALSE,1,0,0,0,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,2166.5,44580,16500,28080,VOLKSWAGEN,ARTEON,2023,0BX823,USED,17476.56,2951,14525.56,0,1890,0,0,1061,0,3,2821.65,7800,50000
632893,441702,Female,20,Single,FALSE,1,Citizen,Boarded,2430,36,1,FALSE,2100,TRUE,TRUE,Casual,Professional,FALSE,8,33798.75,120,1136.34,0,13.68,0,0,0,541,587,FALSE,0,0,0,0,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,450,15500,0,15500,HYUNDAI,ELANTRA,2013,OZX13A,USED,4916.45,1725,3191.45,0,1125,0,0,0,0,1,2100,0,600
635126,444033,Female,19,Single,FALSE,0,Citizen,Boarded,3978,1,1,FALSE,0,TRUE,TRUE,Full_Time,Office Staff,FALSE,6,41005.64,36,0,0,0,0,0,0,485,624,FALSE,0,0,0,0,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,649.95,18500,0,18500,HYUNDAI,VELOSTER,2017,UYN17A,USED,3417,1061.6,2355.4,0,1061.6,0,0,0,0,0,0,0,100
640730,449716,Male,33,De-facto,TRUE,1,Citizen,Mortgaged,4223,6,1,TRUE,0,FALSE,TRUE,Full_Time,Trade,FALSE,96,53662.02,0,0,0,0,0,0,0,809,783,FALSE,0,0,0,0,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,519.96,35647,15000,20647,HYUNDAI,SANTA FE,2020,05OO20,USED,13637.96,3871.6,9766.36,0,971.6,0,0,2900,0,1,0,9166.3,30000
639768,448756,Male,34,Single,FALSE,0,Citizen,Boarded,3075,90,2,FALSE,0,TRUE,TRUE,Pensioner,,FALSE,246,71674.05,0,0,0,0,608,1,0,540,536,FALSE,0,0,0,0,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,433.3,10000,0,10000,NISSAN,NAVARA,2003,COC03C,USED,5972.6,3513.23,2459.37,0,1572,0,0,208.03,0,0,0,0,0
621291,429670,Female,39,Single,FALSE,1,Permanent_Resident,Rented,3030,24,2,FALSE,0,TRUE,TRUE,Full_Time,Trade,FALSE,128,61797.79,0,0,3,0,0,0,0,331,365,FALSE,1,1,1,980,-991,0,N,-991,-991,-991,-991,1,Vehicle,60,0,16800,2300,14500,HYUNDAI,SANTA FE,2013,OCF13A,USED,5288.27,2151.57,3136.7,0,1391.57,0,0,0,0,1,138.66,0,4500
